smiles	reconstructed	loss	accuracy
>Cc1occc1C(=O)Nc1ccc(C(=O)NCc2ccccc2)cc1<__________________	>Cc1cccc1C(=O)Nc1ccc(C(=O)NCc2ccccc2)cc1<__________________	0.384595656779661	0.9226542372881356
>O=C(CNC(=O)c1c[nH]nc1-c1ccccc1F)NC1CC1<___________________	>O=C(CNC(=O)c1c[nH]nc1-c1ccccc1F)CCOCC1<___________________	0.384595656779661	0.9226542372881356
>CC(=O)NCC1NCCc2cc(Br_)ccc21<_______________________________	>CC(=O)NCC1CCCc2cc(ClF)ccc21<_______________________________	0.384595656779661	0.9226542372881356
>Cc1sc2[nH]c(CCC(=O)NC(C)CCC(C)C)nc(=O)c2c1C<______________	>Cc1nc2[nH]c(CCC(=O)N((C)CC(C))C)cc(=O)cccc1<______________	0.384595656779661	0.9226542372881356
>CCNC(=O)c1ccc(NC(=O)c2ccc3[nH]cnc3c2)cc1<_________________	>CCNC(=O)c1ccc(NC(=O)c2ccc3[nH]cnc3c2)cc1<_________________	0.384595656779661	0.9226542372881356
>CCC(C)c1ccccc1NC(=O)Cc1ccc(NC(C)=O)cc1<___________________	>CCC(C)c1ccccc1NC(=O)Cc1ccc(NC(C)=O)cc1<___________________	0.384595656779661	0.9226542372881356
>O=C(NCC(=O)N1CCc2ccccc21)c1ccc(C(F)(F)F)cc1<______________	>O=C((CC(=O)N1CCc2ccccc21)c1ccc(C(FC(F)F)cc1<______________	0.384595656779661	0.9226542372881356
>Cc1noc2nc(-c3ccco3)cc(C(=O)NCc3ccccc3)c12<________________	>Cc1ncc2nc(-c3cccc3)cc(C(=O)NCc1ccccc2)n12<________________	0.384595656779661	0.9226542372881356
>Cc1ccc(NC(=O)c2ccccc2O)cc1N1CCCS1(=O)=O<__________________	>Cc1ccc(NC(=O)c2ccccc2F)cc1N1CCNCC(=O)N2<__________________	0.384595656779661	0.9226542372881356
>Cc1cc(C)cc(CCNC(=O)c2cc(C(N)=O)cs2)c1<____________________	>Cc1cc(C)cc(CCNC(=O)c2cc(C(N)=O)cc2)c1<____________________	0.384595656779661	0.9226542372881356
>Cc1ccc(C)c(C(NC(=O)c2nnc(C)o2)c2cccnc2)c1<________________	>Cc1ccc(C)c(NCNC(=O)c2cnc(C)n2)c2ccccc2)c1<________________	0.384595656779661	0.9226542372881356
>CCc1ncc2c(n1)CN(C(=O)c1sc(C(C)C)nc1C)C2<__________________	>CCc1ccc2c(c1)CN(C(=O)c1cc(C(C)C)nn1)CC1<__________________	0.384595656779661	0.9226542372881356
>Cc1cc(C(=O)N2CCOCC2C2CC2)c2c(C)nn(C)c2n1<_________________	>Cc1cc(C(=O)N2CCOC(CCCCC2)cnc(C)c(n)]c2c1<_________________	0.384595656779661	0.9226542372881356
>O=C(CNC(=O)c1ccccc1F)OCc1ccccc1<__________________________	>O=C(CNC(=O)c1ccccc1F)OCc1ccccn1<__________________________	0.384595656779661	0.9226542372881356
>CCCCOc1ccc(C(=O)N2CCN(C(C)=O)CC2)cc1<_____________________	>CC(COc1ccc(C(=O)N2CCN(C(C(=O)CC2)cc1<_____________________	0.384595656779661	0.9226542372881356
>O=C(COc1ccc2c(c1)C(=O)CC2)NCc1ccccc1<_____________________	>O=C(COc1ccc2c(c1)C(=O)ONC)1Cc1ccccc1<_____________________	0.384595656779661	0.9226542372881356
>Cc1nc(Cn2nc(-c3ccc(F)cc3)oc2=O)no1<_______________________	>Cc1nc(-c2nc(-c3ccc(F)cc3)nc2=O)on1<_______________________	0.384595656779661	0.9226542372881356
>CC(=O)c1c(C)[nH]c(C(=O)NC2CCCCC2)c1C<_____________________	>CC(=O)c1c(C)[nH]c(C(=O)NC22CCCC2)c1C<_____________________	0.384595656779661	0.9226542372881356
>CN(Cc1nnc2ccccn12)C(=O)c1ccc(Cl_)c(Cl_)c1<__________________	>CN(Cc1nnc2ccccc12)C(=O)c1ccc(ClH)c(ClH)c1<__________________	0.384595656779661	0.9226542372881356
>C=CCNC(=O)c1ccc(NC(=O)c2ccc3c(c2)OCO3)cc1<________________	>C=CCNC(=O)c1ccc(NC(=O)c2ccc3c(c2)OCO3)cc1<________________	0.384595656779661	0.9226542372881356
>CC(C)n1nnnc1-c1cccc(C(=O)NCCCO)c1<________________________	>CC(C)c1nnnc1-c1cccc(C(=O)NCCCC)c1<________________________	0.384595656779661	0.9226542372881356
>O=C(CCN1CCOC(Cn2cncn2)C1)N1CCc2ccccc21<___________________	>O=C(CC1CCCCC(Cc2nccn2)CC1)1CCc2ccccc21<___________________	0.384595656779661	0.9226542372881356
>CC(CNC(=O)N(C)Cc1cc(F)c(F)c(F)c1)Cn1cccn1<________________	>CCCCNC(=O)N(C)Cc1cc(F)c(F)c(F)c1)Cc1cccc1<________________	0.384595656779661	0.9226542372881356
>Nc1cccc(C(=O)NCCNC(=O)c2cccc(N)c2)c1<_____________________	>Cc1cccc(C(=O)NCCNC(=O)c2cccc(F)c2)c1<_____________________	0.384595656779661	0.9226542372881356
>Nc1nc(SCC(=O)Nc2ccccc2Oc2ccccc2)n[nH]1<___________________	>Cc1cc(NCC(=O)Nc2cccccClCc3ccccc3)c(C)o1<___________________	0.384595656779661	0.9226542372881356
>CCC(CC)C(=O)Nc1ccc(C)c(C(=O)NC(C)C)c1<____________________	>CCC(CC)C(=O)Nc1ccc(C)c(C(=O)NC(C)C)c1<____________________	0.384595656779661	0.9226542372881356
>Cc1ccc(CN(C)C(=O)COc2ccc(F)cc2)cc1<_______________________	>Cc1ccc(CN(C)C(=O)COc2ccc(F)cc2)cc1<_______________________	0.384595656779661	0.9226542372881356
>CCOc1cncc(N2CCN(C(=O)C3CC3C)CC2)n1<_______________________	>CCOc1cccc(N2CCN(C(=O)C3CCCC)CC2)c1<_______________________	0.384595656779661	0.9226542372881356
>COc1cc2nc3c4cc(C)ccc4n(CC#N)c3nc2cc1OC<___________________	>CCc1ccc2c(cnn2c1Cc1ccc(C(CN)ccccccc1=O<___________________	0.384595656779661	0.9226542372881356
>COC(=O)C1CN(Cc2cc3cc(OC)ccc3o2)CCO1<______________________	>COC(=O)C1CCCCc2cc3cc(OC)ccc3c2)CCO1<______________________	0.384595656779661	0.9226542372881356
>COC(=O)c1c(C)[nH]c(C(=O)Nc2ccc[nH]c2=O)c1C<_______________	>COC(=O)c1c(C)[nH]c(C(=O)Nc2ccc(F)c(2=O)cc1<_______________	0.384595656779661	0.9226542372881356
>COc1cc(C)c(C(=O)N2CCSc3ncccc32)cc1OC<_____________________	>COc1cc(C)c(C(=O)N2CCCc3ccccc32)cc1CO<_____________________	0.384595656779661	0.9226542372881356
>COc1ccc(F)cc1NC(=O)Cc1cccc(F)c1F<_________________________	>COc1ccc(F)cc1NC(=O)Cc1cccc(F)cc1<_________________________	0.384595656779661	0.9226542372881356
>CCCCNC(=O)N1CCCC(c2nc(CC(C)C)no2)C1<______________________	>CCCCNC(=O)N1CCCC(c2cc(CC(C)C)ns2)C1<______________________	0.384595656779661	0.9226542372881356
>CCN(CC(=O)NCc1cccs1)C(=O)CC1C=CCC1<_______________________	>CCN(CC(=O)NCc1cccs1)C(=O)CCCC)C)C1<_______________________	0.384595656779661	0.9226542372881356
